price;usable_area;parking_lots;terrace;balcony;loggia;cellar;low_energy;easy_access;garage;elevator;material_brick;material_panel;Prague_1;Prague_2;Prague_3;Prague_4;Prague_5;Prague_6;Prague_7;Prague_8;Prague_9;floor_ground;floor_above_ground;status_good;status_very_good;status_after_reconstruction;kitchen_separately;nonresidential_unit;fully_furnished;partially_furnished;metadata;image;link
18300.0;36;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiDshGGSbCJnYUi/1f46.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-zizkov-cimburkova/2080121420
17990.0;40;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;Byt 1+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiDshGGX1CMfYyL/9f35.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-smichov-u-klikovky/26288716
28000.0;41;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 1+kk;https://d18-a.sdn.cz/d_18/c_img_m4_B/kQOIvbF2D1aJ5NgMBxYniO/37fe.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-modrany-ceskoslovenskeho-exilu/2048049740
49900.0;156;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Byt 3+kk;https://d18-a.sdn.cz/d_18/c_img_m4_B/nPt0vAiT3tDxFrxZlBudqaj/b208.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-vrsovice-rostovska/981910092
21000.0;50;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/kObgaqJNMnDMhdnW1CMBgLT/4a59.png?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-smichov-mozartova/940687948
21800.0;41;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;Byt 1+1;https://d18-a.sdn.cz/d_18/c_img_oV_B/nObqMzmdkDI9SmTZCI5EHv/bb7c.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+1/praha-nove-mesto-lipova/3796705868
21000.0;37;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_A/nPt0vAiT3tCObjybBCDMVXF/bd8c.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-nove-mesto-lipova/2534879820
22000.0;37;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_A/nPt0vAiT3tClidNcQCDMcOc/2fd4.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-nove-mesto-lipova/2987704908
26000.0;58;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiUs1XVxCLbBBL/141f.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-nove-mesto-lipova/4165784140
31000.0;65;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;Byt 2+1;https://d18-a.sdn.cz/d_18/c_img_m4_A/nPt0vAiT3tBfkeuW3BtPVBj/9711.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+1/praha-vinohrady-manesova/3429352012
52500.0;87;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 3+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiBtfltXMCML5hQ/4da0.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-nove-mesto-revolucni/3384877644
21000.0;55;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiBtfltX0CMclit/7aae.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-liben-/3720421964
85000.0;120;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;Byt 4+kk;https://d18-a.sdn.cz/d_18/c_img_m3_A/nEEmzB06yC1iaIZH269H/b611.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/4+kk/praha-vinohrady-safarikova/1474069068
30000.0;73;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;Byt 2+1;https://d18-a.sdn.cz/d_18/c_img_m3_A/nEEmzB06yBVcLPco26w7/b7dc.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+1/praha-stare-mesto-v-kolkovne/1208005196
24000.0;55;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_A/nPt0vAiT3tCLG8gT9CATDY6/c722.png?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-vysocany-moravcovych/4239471180
22300.0;42;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/kObgaqJNMnB0yvGXfCMXWkn/39ab.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-nove-mesto-u-pujcovny/1486959180
21990.0;33;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 1+kk;https://d18-a.sdn.cz/d_18/c_img_m3_A/nEEmzB06yDtMFlcU25Np/2ec4.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-nove-mesto-jecna/2235552332
25500.0;60;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiUs1XUjCKqcNS/933b.png?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-liben-podlipneho/911417932
22500.0;51;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_B/kO7h3dRn21ChmXIT6CExcLb/52e0.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-vysocany-kolbenova/550298188
57000.0;146;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Byt 4+kk;https://d18-a.sdn.cz/d_18/c_img_m2_A/nOyK4m0UavEBQtUXQwZg9/4df4.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/4+kk/praha-dejvice-matejska/1586422348
31000.0;50;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;Byt 2+1;https://d18-a.sdn.cz/d_18/c_img_oV_B/naUHOyYNpCNNQwV5CEZqbZ/a682.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+1/praha-vinohrady-manesova/2465411660
31000.0;65;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;Byt 2+1;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiBtfltWnCLzjEB/3deb.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+1/praha-vinohrady-manesova/2860565068
15500.0;49;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;Byt 1+1;https://d18-a.sdn.cz/d_18/c_img_oV_A/naUHOyYNpCP7JGSlCDWsqr/3ed4.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+1/praha-zabehlice-ve-slatinach/533017164
34000.0;78;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;Byt 3+1;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiCodW3Y1CLnZhs/a55e.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+1/praha-stare-mesto-konviktska/3570655820
16000.0;45;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;Byt 1+1;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiyaoUWBCLkIld/3c79.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+1/praha-strasnice-/46277196
26500.0;68;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;Byt 2+1;https://d18-a.sdn.cz/d_18/c_img_oV_B/naUHOyYNpCjaT7VqCEhc3B/6249.png?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+1/praha-karlin-pernerova/3471516236
20000.0;47;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluis55qSjCJj2nz/5d99.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-hlubocepy-werichova/4064621132
28000.0;77;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 3+kk;https://d18-a.sdn.cz/d_18/c_img_oV_B/kO7h3dRn21DNnq4WCCE6BAh/6c45.png?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+kk/praha--wenzigova/2876908108
