Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
22413693;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487457.0;Nad rybníkem;è.p.;4;;;19012;731242.0;1044510.0;2013-12-10T00:00:00
22413707;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487546.0;Stará obec;è.p.;5;;;19012;731615.89;1044399.18;2017-06-22T00:00:00
22413740;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488089.0;Bakurinova;è.p.;9;;;19012;731678.12;1044354.61;2019-11-06T00:00:00
22413839;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;504904.0;Høibojedská;è.p.;18;;;19012;731796.29;1044247.95;2024-05-29T00:00:00
22413880;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487449.0;Nad Rokytkou;è.p.;23;;;19012;731741.17;1044317.25;2021-02-10T00:00:00
22413961;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487473.0;Bohuslavická;è.p.;31;;;19012;732038.62;1044602.52;2023-12-15T00:00:00
22414223;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487520.0;Rudníkovská;è.p.;61;;;19012;732050.35;1044570.41;2017-06-22T00:00:00
22414461;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487601.0;U koneèné;è.p.;86;;;19012;731803.6;1044778.68;2024-03-08T00:00:00
22414495;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488127.0;Dubenecká;è.p.;89;;;19012;731938.77;1044759.64;2017-06-22T00:00:00
22414525;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487538.0;Listopadová;è.p.;92;;;19012;732155.71;1044566.56;2021-07-28T00:00:00
22414550;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487406.0;Knìická;è.p.;95;;;19012;731907.35;1044473.43;2017-06-22T00:00:00
22414576;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;453111.0;Novozámecká;è.p.;97;;;19012;731907.49;1044509.96;2017-06-22T00:00:00
22414606;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487562.0;Studenecká;è.p.;100;;;19012;731872.43;1044493.39;2017-06-22T00:00:00
22414711;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;482838.0;Záblatská;è.p.;112;;;19012;731977.32;1044427.98;2017-06-22T00:00:00
22414835;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487660.0;Vlèická;è.p.;127;;;19012;731961.39;1044353.73;2024-05-09T00:00:00
22414886;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;482790.0;V Ráji;è.p.;132;;;19012;731947.54;1044364.44;2017-06-22T00:00:00
22415092;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487571.0;Svatoòovická;è.p.;154;;;19012;732133.86;1044741.79;2017-06-22T00:00:00
22415149;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488135.0;Hrabaèovská;è.p.;159;;;19012;732249.01;1044625.73;2024-09-16T00:00:00
22415238;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488097.0;Bernartická;è.p.;168;;;19012;732228.43;1044633.41;2017-06-22T00:00:00
22415467;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487481.0;Pilníkovská;è.p.;194;;;19012;732310.45;1044577.63;2017-06-22T00:00:00
22415556;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488143.0;Jana Bílka;è.p.;203;;;19012;732053.14;1044254.82;2020-11-30T00:00:00
